id;year;earning1;season;Nindnme;returnSe
46;2010;3.703029;2;K;-0.3876147
46;2010;7.968428;3;K;0.1012501
46;2010;4.846361;4;K;0.013544
48;2007;-2.035725;1;C1;1.17316
48;2007;1.494531;2;C1;0.0714286
48;2007;1.069114;3;C1;0.3246494
48;2007;12.425;4;C1;-0.1195159
48;2008;1.638453;1;C1;-0.1646655
48;2008;14.597;2;C1;-0.3600824
48;2008;19.4663;3;C1;-0.215434
48;2008;61.10041;4;C1;-0.175
48;2009;1.930064;1;C1;0.7575758
48;2009;-3.617968;2;C1;0.1371429
48;2009;-3.519163;3;C1;-0.0680101
48;2009;34.15568;4;C1;0.3270777
48;2010;1.874805;1;C1;0.2224449
48;2010;0.3531484;2;C1;-0.304419
48;2010;3.138398;3;C1;0.2033494
48;2010;-12.96422;4;C1;0.0656063
49;2007;-5.47412;1;C3;0.5060034
49;2007;0.0671153;2;C3;0.0056818
49;2007;-1.035453;3;C3;0.3954802
49;2007;3.254303;4;C3;-0.0881164
49;2008;-0.0832947;1;C3;-0.0140721
49;2008;-1.613176;2;C3;-0.4513827
49;2008;2.771043;3;C3;-0.300813
49;2008;-1.828417;4;C3;0.4622222
49;2009;-8.038187;1;C3;0.6221198
49;2009;-15.12816;2;C3;-0.035038
49;2009;-31.55066;3;C3;-0.1526264
49;2009;-28.6326;4;C3;0.2245132
49;2010;9.346502;1;C3;0.3069124
49;2010;11.03674;2;C3;0.4859155
49;2010;16.6963;3;C3;0.3990521
49;2010;19.12684;4;C3;-0.1129467
50;2007;5.612093;1;C3;0.3145809
50;2007;10.08657;2;C3;-0.1724738
50;2007;17.62934;3;C3;0.4616193
50;2007;17.69512;4;C3;0.0136691
50;2008;1.373828;1;C3;-0.26983
50;2008;8.88099;2;C3;-0.3085318
50;2008;8.994417;3;C3;-0.1806358
50;2008;-50.30627;4;C3;-0.450805
50;2009;-55.39452;1;C3;0.4583335
50;2009;-65.53217;2;C3;0.1362637
50;2009;-63.67966;3;C3;0.0349514
