id,year,returnSe,season,earning1,Nindnme
19,2016,0.2603244,3,-0.0630259,C1
19,2016,-0.0526624,4,0.1303775,C1
19,2017,-0.0599135,1,-0.0169051,C1
19,2017,-0.2003942,2,-0.0334171,C1
20,2007,0.6010101,2,-0.0317146,C3
20,2007,0.258675,3,0.0862582,C3
20,2007,-0.0614035,4,0.1526314,C3
20,2008,-0.2323097,1,0.0112283,C3
20,2008,-0.56,3,-0.0139681,C3
20,2008,-0.0513834,4,0.1651126,C3
20,2009,0.7166666,1,0.0483623,C3
20,2009,0.5533981,2,0.0584032,C3
20,2009,0.0015625,3,0.0871542,C3
20,2009,0.7191889,4,0.0357763,C3
20,2010,0.0208711,1,0.0603543,C3
20,2010,-0.3013333,2,0.085253,C3
20,2010,0.2951654,3,0.1171007,C3
20,2010,-0.0746562,4,0.0497611,C3
20,2011,0.0116772,1,0.0195614,C3
20,2011,-0.1385099,2,0.0537544,C3
20,2011,-0.1839221,3,0.0609371,C3
20,2011,-0.2134328,4,0.0854708,C3
20,2012,0.1119545,1,0.04953,C3
20,2012,0.2252559,2,0.0605318,C3
20,2012,-0.1225626,3,0.0483683,C3
20,2012,-0.0126985,4,0.0284043,C3
20,2013,-0.0128617,1,0.0072614,C3
20,2013,-0.1237785,2,0.017692,C3
20,2013,0.2304832,3,0.0082908,C3
20,2013,-0.010574,4,-0.0543427,C3
20,2014,0.1770992,1,0.0058569,C3
